group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
RBTree Benchmarking,Search,2,,,64083100.0,ns,2
RBTree Benchmarking,Search,2,,,61085300.0,ns,2
RBTree Benchmarking,Search,2,,,61348000.0,ns,2
RBTree Benchmarking,Search,2,,,61252800.0,ns,2
RBTree Benchmarking,Search,2,,,61259500.0,ns,2
RBTree Benchmarking,Search,2,,,61311900.0,ns,2
RBTree Benchmarking,Search,2,,,61239400.0,ns,2
RBTree Benchmarking,Search,2,,,61200100.0,ns,2
RBTree Benchmarking,Search,2,,,61328200.0,ns,2
RBTree Benchmarking,Search,2,,,61273200.0,ns,2
RBTree Benchmarking,Search,2,,,61191900.0,ns,2
RBTree Benchmarking,Search,2,,,61157600.0,ns,2
RBTree Benchmarking,Search,2,,,61354500.0,ns,2
RBTree Benchmarking,Search,2,,,61255800.0,ns,2
RBTree Benchmarking,Search,2,,,61302000.0,ns,2
RBTree Benchmarking,Search,2,,,61305500.0,ns,2
RBTree Benchmarking,Search,2,,,61069100.0,ns,2
RBTree Benchmarking,Search,2,,,61210000.0,ns,2
RBTree Benchmarking,Search,2,,,61090300.0,ns,2
RBTree Benchmarking,Search,2,,,61224900.0,ns,2
RBTree Benchmarking,Search,2,,,61118600.0,ns,2
RBTree Benchmarking,Search,2,,,61292800.0,ns,2
RBTree Benchmarking,Search,2,,,61825700.0,ns,2
RBTree Benchmarking,Search,2,,,60920100.0,ns,2
RBTree Benchmarking,Search,2,,,61164400.0,ns,2
RBTree Benchmarking,Search,2,,,61151400.0,ns,2
RBTree Benchmarking,Search,2,,,60823900.0,ns,2
RBTree Benchmarking,Search,2,,,61030600.0,ns,2
RBTree Benchmarking,Search,2,,,63447500.0,ns,2
RBTree Benchmarking,Search,2,,,61236900.0,ns,2
RBTree Benchmarking,Search,2,,,61194200.0,ns,2
RBTree Benchmarking,Search,2,,,61130900.0,ns,2
RBTree Benchmarking,Search,2,,,61334800.0,ns,2
RBTree Benchmarking,Search,2,,,60969000.0,ns,2
RBTree Benchmarking,Search,2,,,61220000.0,ns,2
RBTree Benchmarking,Search,2,,,61354800.0,ns,2
RBTree Benchmarking,Search,2,,,61143100.0,ns,2
RBTree Benchmarking,Search,2,,,62112100.0,ns,2
RBTree Benchmarking,Search,2,,,61031600.0,ns,2
RBTree Benchmarking,Search,2,,,60931300.0,ns,2
RBTree Benchmarking,Search,2,,,61748500.0,ns,2
RBTree Benchmarking,Search,2,,,61070900.0,ns,2
RBTree Benchmarking,Search,2,,,61178700.0,ns,2
RBTree Benchmarking,Search,2,,,61205500.0,ns,2
RBTree Benchmarking,Search,2,,,61370200.0,ns,2
RBTree Benchmarking,Search,2,,,61217900.0,ns,2
RBTree Benchmarking,Search,2,,,61120400.0,ns,2
RBTree Benchmarking,Search,2,,,61063100.0,ns,2
RBTree Benchmarking,Search,2,,,61009800.0,ns,2
RBTree Benchmarking,Search,2,,,61211200.0,ns,2
RBTree Benchmarking,Search,2,,,61070500.0,ns,2
RBTree Benchmarking,Search,2,,,61147400.0,ns,2
RBTree Benchmarking,Search,2,,,61105700.0,ns,2
RBTree Benchmarking,Search,2,,,61357300.0,ns,2
RBTree Benchmarking,Search,2,,,61205100.0,ns,2
RBTree Benchmarking,Search,2,,,61108200.0,ns,2
RBTree Benchmarking,Search,2,,,61372800.0,ns,2
RBTree Benchmarking,Search,2,,,62792700.0,ns,2
RBTree Benchmarking,Search,2,,,62059000.0,ns,2
RBTree Benchmarking,Search,2,,,61559400.0,ns,2
RBTree Benchmarking,Search,2,,,63175900.0,ns,2
RBTree Benchmarking,Search,2,,,61327400.0,ns,2
RBTree Benchmarking,Search,2,,,61025800.0,ns,2
RBTree Benchmarking,Search,2,,,61000000.0,ns,2
RBTree Benchmarking,Search,2,,,61238300.0,ns,2
RBTree Benchmarking,Search,2,,,62140000.0,ns,2
RBTree Benchmarking,Search,2,,,62091600.0,ns,2
RBTree Benchmarking,Search,2,,,60973800.0,ns,2
RBTree Benchmarking,Search,2,,,60962000.0,ns,2
RBTree Benchmarking,Search,2,,,62264500.0,ns,2
RBTree Benchmarking,Search,2,,,61388400.0,ns,2
RBTree Benchmarking,Search,2,,,61308000.0,ns,2
RBTree Benchmarking,Search,2,,,61387600.0,ns,2
RBTree Benchmarking,Search,2,,,61057800.0,ns,2
RBTree Benchmarking,Search,2,,,61174100.0,ns,2
RBTree Benchmarking,Search,2,,,61195300.0,ns,2
RBTree Benchmarking,Search,2,,,61149800.0,ns,2
RBTree Benchmarking,Search,2,,,61208100.0,ns,2
RBTree Benchmarking,Search,2,,,62956000.0,ns,2
RBTree Benchmarking,Search,2,,,61184000.0,ns,2
RBTree Benchmarking,Search,2,,,61478800.0,ns,2
RBTree Benchmarking,Search,2,,,60740500.0,ns,2
RBTree Benchmarking,Search,2,,,61035200.0,ns,2
RBTree Benchmarking,Search,2,,,60985600.0,ns,2
RBTree Benchmarking,Search,2,,,61283300.0,ns,2
RBTree Benchmarking,Search,2,,,62361900.0,ns,2
RBTree Benchmarking,Search,2,,,61101000.0,ns,2
RBTree Benchmarking,Search,2,,,61434600.0,ns,2
RBTree Benchmarking,Search,2,,,62241600.0,ns,2
RBTree Benchmarking,Search,2,,,61633400.0,ns,2
RBTree Benchmarking,Search,2,,,61062000.0,ns,2
RBTree Benchmarking,Search,2,,,61209700.0,ns,2
RBTree Benchmarking,Search,2,,,61271700.0,ns,2
RBTree Benchmarking,Search,2,,,61378300.0,ns,2
RBTree Benchmarking,Search,2,,,61344400.0,ns,2
RBTree Benchmarking,Search,2,,,60943200.0,ns,2
RBTree Benchmarking,Search,2,,,61143200.0,ns,2
RBTree Benchmarking,Search,2,,,61309000.0,ns,2
RBTree Benchmarking,Search,2,,,61181400.0,ns,2
RBTree Benchmarking,Search,2,,,61134700.0,ns,2
